bundle_id,customer_type,item_code,support_pct,lift,median_annual_value
Kedairuncit-B1,"Kedai runcit",CU021,83.73,3.13,6240.52
Kedairuncit-B1,"Kedai runcit",SXLSK,72.88,1.64,1499.47
Kedairuncit-B1,"Kedai runcit",CU025,43.06,3.06,2184.08
Kedairuncit-B2,"Kedai runcit",PA036,39.56,3.04,6275.57
Kedairuncit-B2,"Kedai runcit",GR029,88.50,3.05,7955.51
Kedairuncit-B2,"Kedai runcit",GA009,85.01,1.42,6106.13
Kedairuncit-B3,"Kedai runcit",GR030,37.21,2.09,5507.17
Kedairuncit-B3,"Kedai runcit",RU008,73.30,2.13,4400.05
Kedairuncit-B3,"Kedai runcit",GA009,82.79,3.00,5830.86
Restaurant-B1,"Restaurant",GR029,69.57,3.14,6236.21
Restaurant-B1,"Restaurant",SI001,73.57,2.55,1606.89
Restaurant-B1,"Restaurant",RU006,67.40,2.75,8314.30
Restaurant-B2,"Restaurant",PA034,80.81,3.16,7606.33
Restaurant-B2,"Restaurant",CU021,77.86,2.88,4900.95
Restaurant-B2,"Restaurant",9.EC22,48.01,1.61,2539.07
Restaurant-B3,"Restaurant",CU028,87.10,1.77,7124.87
Restaurant-B3,"Restaurant",GA010,69.82,1.39,5305.07
Restaurant-B3,"Restaurant",RU005,69.42,1.26,7446.56
Hypermarket-B1,"Hypermarket",9.EC22,84.67,3.15,4704.42
Hypermarket-B1,"Hypermarket",GA010,34.53,1.42,3315.10
Hypermarket-B1,"Hypermarket",70.JP9,86.99,1.45,740.71
Hypermarket-B2,"Hypermarket",FO014,55.52,1.46,6942.65
Hypermarket-B2,"Hypermarket",CU024,62.93,2.34,4406.60
Hypermarket-B2,"Hypermarket",RU008,84.16,1.98,2072.56
Hypermarket-B3,"Hypermarket",PL018,37.90,2.26,1673.42
Hypermarket-B3,"Hypermarket",PL019,43.94,1.82,4003.71
Hypermarket-B3,"Hypermarket",CU023,42.88,1.38,1314.95
Hawker-B1,"Hawker",CU025,38.09,2.38,2105.30
Hawker-B1,"Hawker",CU026,45.37,2.03,6717.78
Hawker-B1,"Hawker",CU021,49.30,1.47,8089.87
Hawker-B2,"Hawker",RU005,36.64,2.22,1548.92
Hawker-B2,"Hawker",FO013,83.70,2.39,4931.44
Hawker-B2,"Hawker",PA036,87.54,1.51,914.20
Hawker-B3,"Hawker",FO013,49.36,1.72,5580.79
Hawker-B3,"Hawker",SI001,74.80,2.79,7499.60
Hawker-B3,"Hawker",GR030,59.11,2.43,2194.47
Wholesaler-B1,"Wholesaler",GR031,73.64,1.39,707.56
Wholesaler-B1,"Wholesaler",PA035,36.30,1.96,1947.48
Wholesaler-B1,"Wholesaler",CU026,55.54,2.30,2097.15
Wholesaler-B2,"Wholesaler",GR032,74.45,2.82,6355.88
Wholesaler-B2,"Wholesaler",PA034,48.88,2.71,5971.13
Wholesaler-B2,"Wholesaler",GR030,59.13,3.01,8065.69
Wholesaler-B3,"Wholesaler",GR029,46.80,1.38,2659.53
Wholesaler-B3,"Wholesaler",CU023,74.96,1.31,2418.23
Wholesaler-B3,"Wholesaler",GA011,49.11,2.87,7993.29
