customer_code,item_code,peer_penetration_pct,estimated_annual_value
C0001,SI002,55.14,1958.90
C0001,FO014,74.06,3042.01
C0001,CU022,53.24,3094.05
C0001,CU024,48.35,2300.45
C0001,GR031,88.13,5859.40
C0001,GR032,91.23,2904.78
C0002,RU005,84.36,1191.83
C0002,GA012,59.79,4057.66
C0002,FO014,44.13,4614.75
C0002,CU021,50.98,5296.16
C0002,CU026,53.89,6155.83
C0002,GR029,67.22,5913.06
C0003,RU005,49.12,3604.03
C0003,FO016,40.03,808.60
C0003,CU026,50.80,4132.99
C0003,GR030,51.76,407.30
C0003,PA036,86.01,2643.25
C0004,SI002,61.57,3703.21
C0004,SI003,83.88,4305.52
C0004,GA010,69.62,875.28
C0004,CU022,82.56,6013.18
C0004,GR031,65.01,5743.53
C0004,PA033,63.65,2568.37
C0005,SI002,91.42,1069.29
C0005,RU007,57.42,5202.37
C0005,PL020,76.98,4397.63
C0005,CU023,55.29,6189.39
C0005,CU025,91.99,5331.53
C0005,PA035,77.39,1113.68
C0006,SI003,80.14,5273.73
C0006,SI004,56.40,5800.35
C0006,RU008,53.15,1705.04
C0006,GA012,89.77,6033.51
C0006,PL017,79.88,948.34
C0006,CU021,84.12,4418.69
C0007,FO014,79.84,3047.16
C0007,FO015,74.65,5853.25
C0007,PL017,64.28,930.32
C0007,PL018,76.33,1986.97
C0007,PL019,56.83,1813.06
C0007,PL020,44.41,5043.41
C0008,RU006,94.56,4892.70
C0008,CU024,71.38,6154.33
C0008,GR030,59.97,2307.67
C0009,9.EC22,40.69,3807.79
C0009,70.JP9,87.29,2866.40
C0009,SI001,85.74,5989.74
C0009,GA011,90.75,3364.55
C0009,CU023,63.56,4775.24
C0009,CU027,52.80,516.79
C0010,9.EC22,44.16,2544.44
C0010,SI001,42.88,3192.06
C0010,GA010,46.13,1153.08
C0010,CU021,81.64,2317.21
C0010,CU027,73.45,2601.85
C0011,SXLSK,75.48,610.70
C0011,GA010,53.28,812.16
C0011,FO015,89.42,3083.72
C0011,PL017,41.36,2740.27
C0011,CU023,56.56,4110.77
C0011,CU025,61.01,2651.58
C0012,SI002,83.32,4500.78
C0012,SI004,63.63,4527.97
C0012,FO013,82.27,1165.29
C0012,PL017,46.45,594.41
C0012,PL020,49.03,5214.06
C0012,CU023,78.92,4573.15
C0013,9.EC22,54.91,4398.77
C0013,70.JP9,51.28,369.26
C0013,SXLSK,58.75,958.16
C0013,SI004,57.63,5890.61
C0013,RU008,73.09,1857.75
C0013,GA009,69.41,5532.44
C0014,SI002,41.80,5315.67
C0014,SI003,56.52,1845.83
C0014,RU005,80.01,5804.19
C0014,PL018,94.15,855.50
C0014,PL019,71.67,3406.11
C0014,CU021,46.16,1771.28
C0015,70.JP9,52.33,3336.72
C0015,RU006,60.10,4355.01
C0015,RU007,43.03,2746.74
C0015,RU008,64.89,5407.48
C0015,FO015,66.52,6024.67
C0015,PL020,69.17,2917.60
C0016,SI001,69.32,5755.65
C0016,SI002,47.66,3969.98
C0016,SI003,54.30,2799.52
C0016,RU006,40.68,5733.24
C0016,RU008,43.91,3207.03
C0016,FO014,66.01,4960.27
C0017,9.EC22,57.34,5466.49
C0017,70.JP9,55.82,4216.84
C0017,SI004,79.40,378.35
C0017,RU006,72.21,4638.90
C0017,RU007,73.14,4489.58
C0017,FO014,82.51,3061.44
C0018,RU007,89.26,1146.72
C0018,FO016,67.19,4646.17
C0018,PL017,92.72,907.07
C0018,CU021,74.19,320.85
C0018,GR032,48.17,4530.95
