customer_code,item_code,fy_qty,fy_value
C0001,CO060,846,6101.91
C0001,CU026,1182,17666.08
C0001,SA054,1285,37756.11
C0001,CU028,325,6236.75
C0001,TE048,292,9182.19
C0001,FO015,1441,11395.04
C0001,CO059,865,8448.14
C0001,SA053,742,14993.12
C0001,PA034,1070,26667.28
C0001,CO041,1203,18647.44
C0002,GA009,575,10559.04
C0002,SI003,63,628.05
C0002,CO058,1186,20929.34
C0002,TE048,1279,38710.14
C0002,CU023,772,19027.60
C0002,CO060,1108,7813.18
C0002,SA056,1181,28942.83
C0002,PA035,1210,2902.20
C0003,SA054,788,24355.93
C0003,GA010,261,6759.84
C0003,TI040,376,10124.86
C0003,CU021,1286,33476.72
C0003,SU062,965,29624.15
C0003,PA035,858,2078.57
C0003,SU064,201,2167.96
C0003,SI004,1066,23106.96
C0003,SU061,1176,35495.24
C0003,PL019,814,13853.11
C0003,CO041,931,14564.03
C0003,70.JP9,569,11119.58
C0003,GA011,1138,10964.18
C0003,CU025,601,13080.96
C0003,TI039,1164,3052.23
C0003,GA012,464,13116.84
C0003,CU028,753,14165.63
C0003,FO015,734,5759.80
C0004,TE045,804,17545.09
C0004,CO058,654,11249.52
C0004,CU028,1085,21502.17
C0004,SU061,1162,34970.57
C0004,9.EC22,326,1530.08
C0004,CR050,1534,9261.88
C0004,PA035,1099,2551.90
C0004,FO016,1273,7004.80
C0004,CU025,145,3182.14
C0004,PL020,239,321.40
C0005,CO057,1484,7162.42
C0005,CU028,99,1978.90
C0005,FO015,100,781.18
C0005,GR032,1002,22832.06
C0005,70.JP9,87,1689.61
C0005,CO041,523,7640.13
C0005,CR051,762,3354.63
C0005,FO013,1151,21267.26
C0005,SA053,1293,27749.06
C0005,GA012,760,21589.03
C0005,CR052,1166,24210.87
C0005,CO058,223,4015.11
C0005,FO016,323,1681.70
C0005,CO043,172,571.29
C0006,FO013,1405,26726.28
C0006,SA054,441,13379.93
C0006,PL020,705,983.87
C0006,PA034,742,17159.33
C0006,CO057,641,3133.55
C0006,CO059,1417,15213.99
C0006,SU063,572,15236.83
C0006,RU007,773,3569.07
C0006,TE045,315,6501.69
C0006,FO016,1498,7846.31
C0006,CU027,590,16706.90
C0006,70.JP9,1207,23284.46
C0006,GR030,971,7871.56
C0007,TE048,534,16784.37
C0007,CO057,133,651.39
C0007,GA009,154,2721.82
C0007,SI002,613,14631.10
C0007,RU005,60,1581.27
C0007,CU025,55,1197.94
C0007,PA033,639,1283.35
C0007,PA036,549,3875.60
