item_code,description,category,subcategory,brand,is_core_80,is_branded,uom_purchase_hint,uom_selling_hint,fy_sales_qty,fy_sales_value,fy_purchase_qty,fy_purchase_value,implied_unit_cost,implied_unit_price,implied_margin_pct,cost_data_quality
9.EC22,"EC22A+LID",Disposables,Food container,,1,0,CTN,PKT,1378,6439.71,1720,209496.00,121.80,4.67,-2506.33,UOM_SUSPECT
70.JP9,"JSP 9"" plate",Disposables,Plate,,1,0,BALE,PKT,7521,143754.69,3400,183464.00,53.96,19.11,-182.31,UOM_SUSPECT
SXLSK,"Rubbish bag XL",Plastic bags,Rubbish bag,,1,0,PKT,PKT,5477,22719.50,58000,129340.00,2.23,4.15,46.24,OK
SI001,"Singlet bag 1",Plastic bags,Singlet bag,,1,0,PKT,PKT,7305,118165.03,,,,16.18,,NO_PURCHASE_DATA
SI002,"Singlet bag 2 x24",Plastic bags,Singlet bag,,1,0,CTN,PKT,5705,133742.75,599,434341.57,725.11,23.44,-2993.07,UOM_SUSPECT
SI003,"Singlet bag 3",Plastic bags,Singlet bag,,1,0,PKT,PKT,4350,42306.06,,,,9.73,,NO_PURCHASE_DATA
SI004,"Singlet bag 4",Plastic bags,Singlet bag,,1,0,PKT,PKT,3323,71349.13,28934,386210.31,13.35,21.47,37.83,OK
RU005,"Rubbish bag 1 x24",Plastic bags,Rubbish bag,,1,0,CTN,PKT,6557,176858.04,1582,857773.03,542.21,26.97,-1910.23,UOM_SUSPECT
RU006,"Rubbish bag 2",Plastic bags,Rubbish bag,,1,0,PKT,PKT,3146,76652.62,,,,24.37,,NO_PURCHASE_DATA
RU007,"Rubbish bag 3",Plastic bags,Rubbish bag,,1,0,PKT,PKT,6290,28250.94,35224,96708.39,2.75,4.49,38.87,OK
RU008,"Rubbish bag 4 x50",Plastic bags,Rubbish bag,,1,0,BALE,PKT,7788,126149.21,532,123824.70,232.75,16.20,-1336.93,UOM_SUSPECT
GA009,"Garbage bag 1 x50",Plastic bags,Garbage bag,,1,0,BALE,PKT,7046,122975.79,502,373789.65,744.60,17.45,-4166.25,UOM_SUSPECT
GA010,"Garbage bag 2",Plastic bags,Garbage bag,,1,0,PKT,PKT,2163,56500.00,12136,203129.80,16.74,26.12,35.92,OK
GA011,"Garbage bag 3",Plastic bags,Garbage bag,,1,0,PKT,PKT,8976,86241.71,35777,210835.24,5.89,9.61,38.67,OK
GA012,"Garbage bag 4",Plastic bags,Garbage bag,,1,0,PKT,PKT,5013,144672.33,7879,179897.23,22.83,28.86,20.88,OK
FO013,"Food container 1 x50",Disposables,Food container,,1,0,BALE,PKT,7590,141133.83,627,363945.72,580.46,18.59,-3021.62,UOM_SUSPECT
FO014,"Food container 2",Disposables,Food container,,1,0,PKT,PKT,7677,26032.55,,,,3.39,,NO_PURCHASE_DATA
FO015,"Food container 3 x24",Disposables,Food container,,1,0,CTN,PKT,8211,65693.58,3420,208528.78,60.97,8.00,-662.10,UOM_SUSPECT
FO016,"Food container 4",Disposables,Food container,,1,0,PKT,PKT,8332,45117.42,3064,14885.45,4.86,5.41,10.28,OK
PL017,"Plate 1",Disposables,Plate,,1,0,PKT,PKT,1463,17313.81,19445,174610.93,8.98,11.83,24.12,OK
